"tweet_id","label"
"850010509969465344","normal"
"850433664890544128","hateful"
"850449456445235200","hateful"
"850100742035836929","hateful"
"847945888995708928","hateful"
"847804507367100416","hateful"
"850344984742174720","normal"
"847482196096987137","normal"
"850660404770590720","normal"
"850090319165050880","hateful"
"849881409284182016","normal"
"848437713061634052","normal"
"848926030723031040","normal"
"848600351381098496","hateful"
"850672203372916736","hateful"
"848975292794318848","normal"
"849303652280020995","hateful"
"850346419164553218","normal"
"849300057782456321","hateful"
"848686686930382848","hateful"
"850380636300820480","hateful"
"847652946217009155","hateful"
"848338236770582529","normal"
"850182237362544642","normal"
"850562987870105600","hateful"
"848075480368545792","normal"
"849763234743808002","hateful"
"850606327625728000","normal"
"848835698006401024","hateful"
"849310820345532416","hateful"
"850612656834662400","normal"
"850215875680522240","hateful"
"847860379682320384","hateful"
"849922895132459008","hateful"
"847917841659473920","hateful"
"849042540091387904","hateful"
"847663964657860609","hateful"
"848275464820891649","normal"
"847760077108822016","normal"
"848573151328043011","normal"
"850186343560994816","normal"
"848110494422630400","hateful"
"847520418793762816","hateful"
"850026196633092096","normal"
"848794237306937344","normal"
"849623568619057152","hateful"
"847591914874572800","hateful"
"849426637657710592","normal"
"847934807615184897","normal"
"848705682937450496","hateful"
"848594131257577473","hateful"
"849751289399566336","hateful"
"849797502211563521","normal"
"847811708995481600","hateful"
"850741375817601025","hateful"
"849091848337489920","normal"
"850738729203503104","normal"
"849261080119361536","normal"
"849191429494546434","normal"
"849995901200355328","normal"
"849001259759616000","normal"
"850570969634754560","normal"
"848997472273936384","hateful"
"849787985352589312","normal"
"849235486455377921","normal"
"848172897285832704","normal"
"847457248355811328","hateful"
"847947877058052096","hateful"
"850074930263859201","hateful"
"848080463214374912","hateful"
"849965110806409216","hateful"
"848653006707011584","hateful"
"850179691386249217","hateful"
"849588915279364096","normal"
"849960731965620224","hateful"
"847693215717249024","hateful"
"849095858096394240","normal"
"847724303902691330","normal"
"848877670389755904","hateful"
"848721914898124808","hateful"
"850336004707934208","normal"
"850730957145616385","hateful"
"849828636563841029","hateful"
"847566791014363136","hateful"
"850008916129964033","hateful"
"848759395215265792","hateful"
"850146933893210116","normal"
"848252702303936513","normal"
"847909058803892224","hateful"
"847498662905307136","hateful"
"849700412475064320","hateful"
"849032238872133633","normal"
"850445232789487616","hateful"
"849350649473114113","normal"
"849355590354776064","hateful"
"849352893400576000","hateful"
"849872022414938113","hateful"
"850217104590594049","hateful"
"848722141382033409","hateful"
"850189686425272321","normal"
"848817960261124096","hateful"
"848669679052886020","normal"
"850014813292032001","hateful"
"850452866422755328","normal"
"850211169662935040","hateful"
"848729850533826564","normal"
"847955644929908736","normal"
"850065702811774976","normal"
"848519904655552512","hateful"
"847625561576841216","hateful"
"849429963749117955","hateful"
"850401901426475008","hateful"
"849766716053884930","hateful"
"849301588674039809","hateful"
"849161004030111745","normal"
"849769794635214848","normal"
"848295945569787904","hateful"
